figure,category,fw_value,nonfw_value,diff_fw_minus_nonfw,p_value,significant,test
risk_experience_aggregate.png,Evacuated from home,70.9,43.5,27.4,0.0,True,2-prop χ²/Fisher
risk_concern_means.png,Property damage,77.4,49.2,28.2,0.0,True,Mann–Whitney U
community_infrastructure.png,Neighborhood holds social events,95.0,50.0,45.0,0.0,True,2-prop χ²/Fisher
community_infrastructure.png,Local wildfire-prep discussion group,82.5,11.4,71.1,0.0,True,2-prop χ²/Fisher
community_discussed_with.png,Neighbors,82.1,22.9,59.2,0.0,True,2-prop χ²/Fisher
community_helped_neighbor.png,Helped OR advised a neighbor,64.1,14.3,49.8,0.0,True,2-prop χ²/Fisher
community_infrastructure.png,Neighborhood newsletter / social media,75.0,27.8,47.2,0.0001,True,2-prop χ²/Fisher
preparedness_completed_multiselect.png,Spring 2024 chipper events,57.5,13.9,43.6,0.0002,True,2-prop χ²/Fisher
risk_experience_aggregate.png,Seen an active fireline,69.7,50.0,19.7,0.0005,True,2-prop χ²/Fisher
preparedness_completed_multiselect.png,Home Ignition Zone assessment,52.5,13.9,38.6,0.001,True,2-prop χ²/Fisher
preparedness_completed_multiselect.png,2024 wildfire education activities,47.5,11.1,36.4,0.0014,True,2-prop χ²/Fisher
community_discussed_with.png,SB County Fire Safe Council,43.6,8.6,35.0,0.0018,True,2-prop χ²/Fisher
preparedness_completed_multiselect.png,Spring 2025 chipper events,52.5,16.7,35.8,0.0025,True,2-prop χ²/Fisher
preparedness_completed_multiselect.png,Defensible space maintenance,75.0,41.7,33.3,0.0066,True,2-prop χ²/Fisher
risk_barriers_to_mitigation.png,Other,60.0,0.0,60.0,0.0068,True,2-prop χ²/Fisher
preparedness_completed_multiselect.png,Emergency prep/training group (CERT etc.),45.0,13.9,31.1,0.007,True,2-prop χ²/Fisher
risk_experience_aggregate.png,Property destroyed (own),23.6,11.7,11.9,0.0084,True,2-prop χ²/Fisher
community_discussed_with.png,Friends / family / household,79.5,48.6,30.9,0.0112,True,2-prop χ²/Fisher
preparedness_activities.png,Home Ignition Zone assessment,10.9,3.2,7.7,0.0152,True,2-prop χ²/Fisher
community_discussed_with.png,None of the above,5.1,28.6,-23.5,0.0157,True,2-prop χ²/Fisher
defensible_zone_actions.png,Zone 2: Annual grasses trimmed below 4 inches,97.1,76.0,21.1,0.0173,True,2-prop χ²/Fisher
risk_concern_means.png,Economic loss,44.5,30.8,13.7,0.0221,True,Mann–Whitney U
risk_experience_aggregate.png,Property destroyed (neighborhood),29.7,18.2,11.5,0.0232,True,2-prop χ²/Fisher
defensible_perceived_effectiveness.png,Community coordination,80.0,63.9,16.1,0.0242,True,Mann–Whitney U
hardening_reasons_not_made.png,Unnecessary (would not increase resilience),5.0,25.0,-20.0,0.0317,True,2-prop χ²/Fisher
community_discussed_with.png,"Local representatives (fire dept, leaders)",48.7,22.9,25.8,0.0389,True,2-prop χ²/Fisher
risk_likelihood.png,Impact home in lifetime,80.0,63.9,16.1,0.0471,True,Mann–Whitney U
preparedness_activities.png,Emergency prep/training group,9.1,3.2,5.9,0.0548,False,2-prop χ²/Fisher
preparedness_completed_multiselect.png,Practiced community evacuation drill,17.5,2.8,14.7,0.059,False,2-prop χ²/Fisher
preparedness_completed_multiselect.png,Back-up important documents,82.5,61.1,21.4,0.068,False,2-prop χ²/Fisher
hardening_reasons_not_made.png,Other,37.5,16.7,20.8,0.0765,False,2-prop χ²/Fisher
defensible_perceived_effectiveness.png,Vegetation management,87.5,86.1,1.4,0.0774,False,Mann–Whitney U
preparedness_activities.png,Defensible-space maintenance,17.0,9.7,7.3,0.0845,False,2-prop χ²/Fisher
community_infrastructure.png,Communications contain preparation content,93.3,70.0,23.3,0.0893,False,2-prop χ²/Fisher
