option,n_all,pct_all,fw_n,fw_pct,nonfw_n,nonfw_pct,diff_fw_minus_nonfw,p_value,sig,fw_higher
Housekeeping (debris removal),57,75.0,33,82.5,24,66.7,15.8,0.1847,,✓
Roof improvements,34,44.7,17,42.5,17,47.2,-4.7,0.8553,,
Signage / address numbers,34,44.7,18,45.0,16,44.4,0.6,1.0,,✓
Vent improvements (ember-resistant),32,42.1,17,42.5,15,41.7,0.8,1.0,,✓
Window improvements,32,42.1,17,42.5,15,41.7,0.8,1.0,,✓
Exterior wall / siding,22,28.9,13,32.5,9,25.0,7.5,0.6408,,✓
Weather stripping (garage doors),19,25.0,13,32.5,6,16.7,15.8,0.1847,,✓
Deck improvements,15,19.7,9,22.5,6,16.7,5.8,0.7268,,✓
Enclosing eaves,14,18.4,8,20.0,6,16.7,3.3,0.9378,,✓
Other,12,15.8,9,22.5,3,8.3,14.2,0.1688,,✓
None of the above,4,5.3,1,2.5,3,8.3,-5.8,0.3398,,
Prefer not to answer,0,0.0,0,0.0,0,0.0,0.0,1.0,,
