Community,Responses
Tecolote Canyon (Rancho Embarcadero),13
Maria Ygnacia Creek,12
San Antonio Creek,11
Rattlesnake Canyon- Las Canoas,9
Northridge Rd,8
Santa Barbara Highlands,8
Painted Cave,7
Westwood Oaks,7
Eucalyptus Knolls,4
MCA-Upper Tunnel Road,4
Sunrise Village,4
West Camino Cielo,4
Jonata Springs Ranch,3
San Marcos Trout Club,3
Hollister Ranch,2
Cima Linda,1
EH-Coronada Circle,1
MCA-Arriba Way,1
MCA-Upper Mission Canyon Rd,1
Rancho Santa Rita Estates - Cebada,1
Rosario Park,1
Sycamore Canyon,1
The Bluffs (Ellwood Mesa),1
Upper Toro Canyon,1
Vista De Santa Barbara,1
MCA-Montrose Place,0
Patterson Oaks,0
Shadow Hills,0
