option,n_all,pct_all,fw_n,fw_pct,nonfw_n,nonfw_pct,diff_fw_minus_nonfw,p_value,sig,fw_higher
Cost,15,62.5,11,73.3,4,44.4,28.9,0.2119,,✓
Other,9,37.5,9,60.0,0,0.0,60.0,0.0068,**,✓
Aesthetics,7,29.2,5,33.3,2,22.2,11.1,0.6687,,✓
Lack of community support,6,25.0,3,20.0,3,33.3,-13.3,0.6349,,
Lack of public support,6,25.0,3,20.0,3,33.3,-13.3,0.6349,,
Not enough time,5,20.8,2,13.3,3,33.3,-20.0,0.3256,,
Access to gardening/landscaping help,5,20.8,3,20.0,2,22.2,-2.2,1.0,,
Lack of community engagement,4,16.7,3,20.0,1,11.1,8.9,1.0,,✓
Lack of education on strategies,4,16.7,2,13.3,2,22.2,-8.9,0.6146,,
Low perception of risk,3,12.5,2,13.3,1,11.1,2.2,1.0,,✓
Lack of communication,2,8.3,1,6.7,1,11.1,-4.4,1.0,,
No one else does it,2,8.3,0,0.0,2,22.2,-22.2,0.1304,,
Don't own my home,2,8.3,0,0.0,2,22.2,-22.2,0.1304,,
No opportunity to engage,1,4.2,0,0.0,1,11.1,-11.1,0.375,,
